Measurement outcome,Frequency
000000000000000,2
000000000000010,1
000000000000011,1
000000000000101,2
000000000000110,4
000000000000111,5
000000000001001,1
000000000001010,2
000000000001011,3
000000000001100,2
000000000001101,1
000000000001110,1
000000000001111,1
000000000010000,2
000000000010001,1
000000000010010,2
000000000010011,4
000000000010100,1
000000000010101,1
000000000010110,1
000000000010111,2
000000000011000,2
000000000011001,3
000000000011011,3
000000000011110,1
000000000011111,1
000000000100000,1
000000000100001,1
000000000100010,3
000000000100011,1
000000000100100,1
000000000100101,1
000000000100110,1
000000000100111,3
000000000101001,1
000000000101011,1
000000000101100,1
000000000101101,1
000000000101110,1
000000000101111,1
000000000110000,3
000000000110001,1
000000000110010,2
000000000110011,3
000000000110100,1
000000000110101,2
000000000110110,2
000000000110111,2
000000000111000,2
000000000111001,1
000000000111010,2
000000000111011,2
000000000111110,2
000000001000000,2
000000001000001,4
000000001000010,3
000000001000011,1
000000001000100,1
000000001000110,1
000000001001000,1
000000001001010,2
000000001001011,3
000000001001101,1
000000001001110,1
000000001010000,1
000000001010001,1
000000001010010,2
000000001010011,2
000000001010100,1
000000001010101,2
000000001010110,2
000000001010111,1
000000001011000,1
000000001011001,2
000000001011010,2
000000001011011,3
000000001011100,1
000000001011101,2
000000001011110,1
000000001011111,2
000000001100000,1
000000001100001,1
000000001100010,2
000000001100011,4
000000001100110,1
000000001101010,2
000000001101011,4
000000001101100,1
000000001101110,1
000000001110001,1
000000001110010,2
000000001110011,3
000000001110101,1
000000001110110,3
000000001110111,1
000000001111010,2
000000001111011,2
000000001111111,3
000000010000000,1
000000010000001,3
000000010000010,2
000000010000011,2
000000010000100,2
000000010000110,1
000000010000111,3
000000010001001,2
000000010001010,1
000000010001011,1
000000010001100,1
000000010001101,1
000000010001110,1
000000010010011,3
000000010010100,2
000000010010101,4
000000010010110,1
000000010010111,1
000000010011000,1
000000010011001,1
000000010011010,1
000000010011011,4
000000010011111,1
000000010100001,3
000000010100011,5
000000010100100,1
000000010100101,1
000000010100111,1
000000010101000,2
000000010101010,1
000000010101011,2
000000010101110,1
000000010110000,1
000000010110001,2
000000010110010,1
000000010110011,2
000000010110101,4
000000010111011,1
000000010111101,2
000000010111111,1
000000011000001,1
000000011000010,2
000000011000011,1
000000011000100,1
000000011000101,1
000000011000110,1
000000011001000,1
000000011001001,2
000000011001100,2
000000011001111,1
000000011010001,1
000000011010010,1
000000011010011,2
000000011010101,1
000000011010110,1
000000011010111,3
000000011011001,1
000000011011010,1
000000011011011,2
000000011011101,2
000000011100000,2
000000011100010,1
000000011100011,1
000000011100100,1
000000011100110,1
000000011100111,2
000000011101010,2
000000011101011,3
000000011101101,1
000000011101111,1
000000011110001,1
000000011110010,2
000000011110011,1
000000011110111,2
000000011111000,1
000000011111110,1
000000100000011,2
000000100000100,1
000000100001011,2
000000100011010,1
000000100011110,1
000000100011111,1
000000100100001,1
000000100100111,1
000000100101010,1
000000100101011,1
000000100110001,1
000000100110100,1
000000100110111,1
000000100111001,1
000000100111100,3
000000100111101,1
000000101000011,1
000000101001000,1
000000101001001,1
000000101001011,1
000000101010001,1
000000101011011,2
000000101100000,1
000000101100001,3
000000101100111,1
000000101101101,1
000000101110000,1
000000101110001,2
000000101110101,1
000000101110110,1
000000101111010,1
000000101111011,1
000000101111100,1
000000110000110,2
000000110001111,1
000000110010011,2
000000110011101,1
000000110100010,1
000000110100011,1
000000110111011,1
000000110111101,1
000000111000000,2
000000111000011,1
000000111000111,1
000000111001000,1
000000111001001,1
000000111010001,1
000000111010101,1
000000111010110,1
000000111011001,1
000000111011010,1
000000111011111,1
000000111100001,1
000000111100010,1
000000111100011,1
000000111100101,1
000000111101010,1
000000111110011,2
000000111110100,1
000000111111001,1
000000111111011,1
000000111111111,1
000001000000001,1
000001000000010,1
000001000000110,1
000001000000111,1
000001000001001,1
000001000010001,1
000001000010011,1
000001000011110,1
000001000100001,1
000001000100011,1
000001000100111,2
000001000101000,1
000001000101011,1
000001000101111,1
000001000110000,1
000001000110011,1
000001000111010,1
000001001000001,1
000001001001011,1
000001001010000,1
000001001010011,1
000001001011000,2
000001001011110,1
000001001100000,1
000001001100011,2
000001001101000,1
000001001101011,1
000001001110011,1
000001001110111,1
000001001111000,1
000001001111110,1
000001010000000,1
000001010000001,2
000001010000110,1
000001010001010,1
000001010010100,1
000001010011001,1
000001010011010,1
000001010011111,1
000001010100101,1
000001010101001,1
000001010110000,1
000001010110101,1
000001010111000,1
000001010111010,1
000001010111011,1
000001010111100,1
000001010111111,2
000001011000011,1
000001011000100,1
000001011000111,1
000001011001010,2
000001011010001,2
000001011010011,1
000001011010101,1
000001011010110,1
000001011010111,1
000001011011011,2
000001011100001,1
000001011100010,1
000001011100011,2
000001011100110,1
000001011101011,1
000001011101110,1
000001011110110,1
000001011111011,1
000001011111100,1
000001100100001,2
000001100100101,1
000001100100111,1
000001100110011,1
000001101000010,1
000001101010000,1
000001101010001,1
000001101011001,1
000001101011010,1
000001101100111,1
000001101110000,1
000001110000010,1
000001110000011,1
000001110010011,1
000001110011000,1
000001110100010,1
000001110100011,1
000001111001001,1
000001111001101,1
000001111010010,1
000001111100011,1
000001111101100,1
000001111110110,1
000010000000000,1
000010000000001,2
000010000000010,3
000010000000011,4
000010000000100,1
000010000000110,1
000010000000111,3
000010000001001,1
000010000001011,3
000010000001101,1
000010000010000,1
000010000010001,2
000010000010011,4
000010000010100,1
000010000010101,1
000010000010110,1
000010000010111,1
000010000011001,1
000010000011010,1
000010000011011,2
000010000011101,2
000010000011110,2
000010000100001,4
000010000100011,2
000010000100101,1
000010000100111,1
000010000101000,1
000010000101010,3
000010000101110,1
000010000110000,1
000010000110001,2
000010000110011,1
000010000110110,2
000010000110111,1
000010000111000,1
000010000111001,1
000010000111011,1
000010000111101,1
000010000111111,2
000010001000001,1
000010001000010,1
000010001000011,2
000010001000101,2
000010001000110,2
000010001000111,4
000010001001001,1
000010001001010,1
000010001001011,1
000010001001100,1
000010001010000,1
000010001010001,3
000010001010010,2
000010001010011,3
000010001011001,2
000010001011011,2
000010001011101,1
000010001011110,1
000010001100000,1
000010001100011,2
000010001100110,2
000010001100111,3
000010001101000,1
000010001101010,1
000010001101011,1
000010001101100,1
000010001110001,1
000010001110010,2
000010001110011,2
000010001110100,1
000010001110111,3
000010001111000,1
000010001111011,2
000010001111100,1
000010001111111,1
000010010000001,2
000010010000010,2
000010010000110,1
000010010001000,1
000010010001001,1
000010010001010,1
000010010001011,2
000010010001101,1
000010010010000,2
000010010010001,1
000010010010010,1
000010010010011,2
000010010010101,2
000010010010110,1
000010010011011,1
000010010100001,2
000010010100010,2
000010010100011,2
000010010101011,2
000010010101110,2
000010010101111,2
000010010110000,1
000010010110010,1
000010010110011,2
000010010110101,1
000010010110110,1
000010010111001,1
000010010111010,1
000010010111011,1
000010010111101,1
000010010111111,1
000010011000001,1
000010011000010,1
000010011000011,4
000010011000100,1
000010011000101,2
000010011000110,1
000010011000111,1
000010011001000,1
000010011001010,2
000010011001011,1
000010011001100,1
000010011001101,1
000010011001110,2
000010011001111,1
000010011010000,1
000010011010001,2
000010011010010,3
000010011010011,2
000010011010111,1
000010011011000,2
000010011011011,1
000010011100000,2
000010011100001,1
000010011100010,1
000010011100011,2
000010011100100,1
000010011100101,1
000010011100111,2
000010011101010,1
000010011101011,2
000010011101111,1
000010011110000,2
000010011110010,2
000010011110011,2
000010011111011,1
000010011111111,1
000010100000001,1
000010100000010,1
000010100000011,1
000010100000100,1
000010100001010,1
000010100010111,2
000010100011100,1
000010100011111,1
000010100101001,1
000010100110011,1
000010100110111,1
000010100111001,1
000010100111100,1
000010100111101,1
000010101000000,2
000010101000001,1
000010101000011,1
000010101000111,1
000010101001000,1
000010101001101,1
000010101010001,1
000010101010011,1
000010101011000,1
000010101011011,1
000010101011111,1
000010101101011,3
000010101110001,1
000010101110110,1
000010110000010,1
000010110001011,1
000010110010011,1
000010110011001,1
000010110011010,1
000010110100001,1
000010110100011,1
000010110101011,1
000010110101100,1
000010110101111,1
000010110110001,1
000010110110010,1
000010110110111,1
000010110111111,1
000010111000001,1
000010111010001,1
000010111011011,2
000010111100011,1
000010111100101,1
000010111110000,1
