Measurement outcome,Frequency
000000000000000,4255
111111111111111,3735
000000000000001,8
000000001111111,12
000000011111111,8
111111111110000,2
111111100000000,9
000000111111111,16
000111111111111,13
000011111111111,10
000000000000111,7
000000000000011,7
001111111111111,7
111111111100000,8
111111000000000,5
111111111000000,12
111111111111100,4
111111110000000,4
111100000000000,5
000001111111111,7
111110000000000,2
111111111111110,2
000000000011111,6
111000000000000,1
110000000000000,1
011111111111111,5
000000000111111,3
100000000000000,7
000000000001111,4
111111111111000,4
000000000000010,1
110000000000111,1
000000001111000,1
010000000000000,2
111100111111111,1
111101111111111,1
000111111100000,1
000111111000000,1
000000001000000,1
000111100000000,1
000001110000000,1
000000111111110,1
101111111111111,1
000000100000000,1
110000000000001,1
111111111100011,1
000000000111100,1
000000111000000,1
111111011111111,1
000001100000000,1
001000000000000,1
000011111000000,1
