Computational basis states,Probabilities
000000000000000,0.024
000000000000010,0.024
000000000000011,0.024
000000000000100,0.049
000000000000110,0.061
000000000001000,0.037
000000000001001,0.024
000000000001010,0.061
000000000001011,0.037
000000000001101,0.012
000000000001110,0.024
000000000001111,0.024
000000000010000,0.024
000000000010001,0.024
000000000010010,0.012
000000000010100,0.012
000000000011000,0.012
000000000011001,0.012
000000000011010,0.049
000000000011100,0.037
000000000011101,0.024
000000000011110,0.024
000000000100000,0.049
000000000100001,0.037
000000000100010,0.061
000000000100011,0.037
000000000100100,0.024
000000000100101,0.012
000000000100110,0.037
000000000101000,0.012
000000000101001,0.012
000000000101010,0.037
000000000101011,0.049
000000000101100,0.012
000000000101101,0.049
000000000101110,0.073
000000000101111,0.012
000000000110000,0.012
000000000110001,0.024
000000000110010,0.024
000000000110011,0.012
000000000110100,0.024
000000000110101,0.024
000000000110110,0.012
000000000111000,0.012
000000000111001,0.037
000000000111010,0.037
000000000111011,0.012
000000000111100,0.012
000000000111111,0.024
000000001000000,0.012
000000001000001,0.012
000000001000010,0.012
000000001000101,0.024
000000001000110,0.024
000000001000111,0.012
000000001001000,0.024
000000001001001,0.012
000000001001010,0.012
000000001001100,0.024
000000001001101,0.012
000000001001111,0.012
000000001010000,0.012
000000001010001,0.024
000000001010011,0.012
000000001010100,0.024
000000001010101,0.012
000000001010110,0.012
000000001011000,0.012
000000001011001,0.012
000000001011101,0.012
000000001011111,0.012
000000001100000,0.024
000000001100001,0.024
000000001100010,0.012
000000001100100,0.012
000000001100101,0.037
000000001100110,0.012
000000001100111,0.037
000000001101001,0.012
000000001101010,0.012
000000001101100,0.012
000000001101101,0.012
000000001101110,0.037
000000001110011,0.012
000000001110101,0.024
000000001110111,0.012
000000001111001,0.012
000000001111010,0.012
000000001111011,0.012
000000001111100,0.012
000000001111110,0.012
000000010000000,0.012
000000010000001,0.012
000000010000010,0.037
000000010000100,0.012
000000010000101,0.012
000000010000110,0.037
000000010000111,0.037
000000010001000,0.049
000000010001001,0.049
000000010001010,0.012
000000010001011,0.049
000000010001100,0.024
000000010001101,0.012
000000010001110,0.037
000000010001111,0.024
000000010010001,0.012
000000010010011,0.024
000000010010100,0.024
000000010010101,0.012
000000010010110,0.049
000000010010111,0.012
000000010011000,0.012
000000010011010,0.024
000000010011100,0.012
000000010011111,0.024
000000010100001,0.024
000000010100010,0.012
000000010100011,0.024
000000010100100,0.012
000000010100101,0.012
000000010100110,0.012
000000010100111,0.024
000000010101001,0.037
000000010101010,0.061
000000010101011,0.012
000000010101101,0.012
000000010101110,0.024
000000010110000,0.012
000000010110001,0.024
000000010110010,0.012
000000010110011,0.012
000000010110100,0.012
000000010111000,0.037
000000010111001,0.012
000000010111010,0.012
000000010111011,0.024
000000010111100,0.037
000000010111101,0.037
000000010111110,0.024
000000010111111,0.012
000000011000010,0.037
000000011000100,0.012
000000011000101,0.012
000000011000110,0.012
000000011000111,0.012
000000011001001,0.012
000000011001100,0.012
000000011001101,0.012
000000011001110,0.012
000000011001111,0.012
000000011010000,0.012
000000011010001,0.012
000000011010010,0.061
000000011010100,0.024
000000011010110,0.012
000000011010111,0.012
000000011011000,0.012
000000011011001,0.024
000000011011010,0.012
000000011011101,0.024
000000011011110,0.012
000000011011111,0.012
000000011100000,0.024
000000011100011,0.012
000000011100110,0.012
000000011100111,0.012
000000011101000,0.012
000000011101010,0.012
000000011101011,0.012
000000011101100,0.012
000000011101101,0.012
000000011101110,0.012
000000011110001,0.012
000000011110100,0.024
000000011111010,0.012
000000011111101,0.012
000000100000001,0.012
000000100000011,0.012
000000100000101,0.024
000000100000110,0.012
000000100000111,0.024
000000100001001,0.012
000000100001010,0.012
000000100001011,0.012
000000100010010,0.012
000000100010011,0.012
000000100010100,0.012
000000100011001,0.012
000000100011010,0.012
000000100011011,0.012
000000100011110,0.012
000000100100001,0.012
000000100100010,0.024
000000100100100,0.012
000000100100110,0.012
