Measurement outcome,Frequency
000000000000,14
000000000001,8
000000010000,7
000100000000,6
000000000010,3
000000000011,5
000000000100,19
000000000101,7
000000000110,5
000000000111,1
000000001000,8
000000001001,1
000000001010,2
000000001011,1
000000001100,3
000100000001,2
000000010001,10
000000010010,4
000000010011,5
000000010100,10
000000010101,7
000000010110,2
000000010111,1
000000011000,5
000000011001,3
000000011010,2
000000011011,2
000000011100,5
000000011101,3
000000011110,2
000000011111,2
000000100000,4
000000100001,6
000000100010,3
000000100100,4
000000100101,4
000000100110,2
000000101000,6
000000101001,1
000000101100,2
000000101110,1
000100000011,3
000000110000,10
000000110001,6
000000110010,4
000000110011,1
000000110100,4
000000110101,3
000000110110,1
000000111000,1
000000111001,3
000000111100,2
000000111110,1
000100000100,4
000001000000,6
000001000001,3
000001000011,2
000001000100,3
000001000110,1
000001001001,2
000001001010,1
000001001011,3
000001001101,1
000001001110,1
000001001111,1
000100000101,3
000001010000,3
000001010001,1
000001010100,1
000001010101,4
000001010110,1
000001011000,1
000001011010,1
000001011100,2
000001011101,1
000100000110,2
000001100000,5
000001100011,1
000001100100,1
000001100101,1
000001100110,1
000001101000,1
000001101001,2
000001101010,1
000001101100,3
000100000111,1
000001110001,2
000001111000,1
000001111100,3
000100001000,3
000010000000,7
000010000001,9
000010000011,2
000010000100,2
000010000101,9
000010000110,4
000010000111,1
000010001000,1
000010001001,4
000010001010,1
000010001011,1
000010001100,3
000010001101,3
000010001110,1
000010001111,2
000100001001,1
000010010000,5
000010010001,3
000010010011,2
000010010100,1
000010010101,1
000010011000,2
000010011001,2
000010011010,1
000010011011,1
000010011100,3
000010011101,1
000010100000,7
000010100001,2
000010100010,2
000010100101,2
000010101000,3
000010101001,3
000100001011,1
000010110000,5
000010110001,3
000010110011,1
000010110100,2
000010110101,2
000010110111,2
000010111000,1
000010111001,1
000010111010,1
000010111110,1
000010111111,2
000100001100,2
000011000000,5
000011000001,5
000011000010,1
000011000100,2
000011000101,1
000011001000,1
000011001001,4
000011001100,1
000011001101,1
000011010000,3
000011010001,2
000011010111,1
000011011001,1
000011011010,1
000011011100,3
000100001110,3
000011100000,1
000011100010,3
000011100100,1
000011100101,1
000011100111,1
000011101000,1
000011101100,2
000011110000,3
000011110001,1
000011110010,1
000011110100,1
000011110101,1
000011110111,1
000011111000,1
000011111001,2
000011111010,1
000011111100,1
000011111110,1
000100010000,4
000100000010,3
000100001010,2
000100010001,4
000100010010,1
000100010100,3
000100010101,5
000100010111,1
000100011000,1
000100011001,1
000100011100,1
000100011110,2
000100011111,1
000100100000,4
000100100001,4
000100100100,2
000100101011,1
000100101100,1
000100010011,1
000100110000,2
000100110001,1
000100110100,1
000100110110,1
000100111100,2
000100111101,1
000100111110,1
000101000000,3
000101000001,4
000101000011,1
000101000100,4
000101000111,1
000101001000,3
000101001001,1
000101001010,2
000101010000,1
000101010101,1
000101011000,3
000101011010,1
000101011100,1
000101011101,1
000100010110,2
000101100000,2
000101100001,1
000101100010,2
000101100101,1
000101101000,1
000101110000,1
000101110001,1
000101110010,1
000101110101,1
000101111000,1
000110000000,9
000110000001,5
000110000010,2
000110000100,3
000110000101,4
000110001000,3
000110001001,2
000110001010,1
000110001011,1
000110001100,2
000110001111,1
000110010000,3
000110010001,2
000110010010,1
000110010011,2
000110010100,2
000110010101,1
000110011001,1
000110011100,3
000110011101,1
000110011110,1
000110011111,1
000110100000,2
000110100100,3
000110100101,1
000110100111,1
000110101001,1
000110101011,1
000110101100,3
000110101110,2
000100011011,1
000110110000,1
000110110100,1
000110111101,1
000111000000,2
000111000001,2
000111000011,1
000111000100,3
000111000110,1
000111001000,2
000111001001,1
000111001100,1
000111001101,1
000111001110,1
000100011101,1
000111010000,1
000111010001,1
000111010011,1
000111011000,1
000111011010,1
000111011100,1
000111011101,1
000111011111,1
000111100000,3
000111100001,3
000111100010,1
000111100011,1
000111100100,1
000111101110,1
000111110000,1
000111110011,1
000111110100,2
000111111000,1
001000000000,6
001000000001,1
001000000010,5
001000000011,3
001000000100,5
001000000101,1
001000000110,1
001000000111,3
001000001000,4
001000001011,1
001000001101,3
001000010000,3
001000010001,2
001000010010,3
001000010100,4
001000010101,3
001000010110,1
001000010111,1
001000011001,2
001000011100,2
001000011101,1
000100100010,1
001000100000,6
001000100001,3
001000100010,2
001000100100,1
001000100101,1
001000100110,1
001000100111,1
001000101001,1
001000101101,1
001000101110,1
000100100011,1
001000110000,4
001000110001,1
001000110110,2
001000111000,4
001000111001,1
001000111101,1
001001000000,5
001001000001,3
001001000110,2
001001001000,1
001001001001,1
001001001011,1
001001001100,3
000100100101,2
001001010000,2
001001010001,3
001001010011,2
001001010100,2
001001010101,1
001001011000,1
001001011100,1
001001011110,1
001001011111,1
001001100000,1
001001100001,3
001001100011,1
001001101001,1
001001101110,1
000100100111,1
001001110000,1
001001110010,1
001001111001,1
001001111100,1
001001111101,1
000100101000,5
001010000000,2
001010000001,2
001010000010,2
001010000011,2
001010000110,2
001010001000,1
001010001001,1
001010001010,1
001010001110,2
001010010000,3
001010010001,1
001010010010,1
001010010110,1
001010010111,1
001010011100,3
001010011101,2
001010100000,5
001010100001,5
001010100010,1
001010100111,2
001010101000,1
001010101001,1
001010101110,1
001010110000,2
001010110010,1
001010111000,1
001010111001,1
001010111100,3
001010111110,1
001011000000,2
001011000001,2
001011000011,1
001011000100,2
001011000101,1
001011001000,2
001011001001,1
001011001100,3
001011001101,1
001011010000,4
001011010001,2
001011010111,1
001011011001,1
001011011011,1
001011011101,2
001011011110,2
001011100000,4
001011100010,1
001011100100,1
001011101100,1
001011110000,3
001011110010,1
001011111001,1
001011111100,2
001100000000,9
001100000001,2
001100000010,2
001100000101,2
001100000110,2
001100000111,1
001100001000,2
001100001001,2
001100001011,2
001100001100,2
001100010000,4
001100010001,2
001100010011,1
001100010100,2
001100010110,1
001100011001,2
001100100000,2
001100100001,1
001100100100,2
001100100110,1
001100101000,2
001100101100,1
001100101101,3
001100101110,1
001100110000,3
001100110010,1
001100110101,1
001100111000,1
001100111001,1
001100111010,1
001100111100,1
001100111101,2
001100111110,1
001101000000,2
001101000001,1
001101000011,2
001101000100,1
001101000101,1
001101001000,1
001101001001,2
001101001100,3
001101001101,1
000100110101,2
001101010000,4
001101010010,1
001101010100,1
001101010110,1
001101011011,1
001101011100,1
001101011111,1
001101100000,2
001101100001,2
001101100100,1
001101100101,2
001101100110,1
001101101010,1
001101101100,1
001101101101,1
001101110100,1
001101110111,1
001101111100,2
000100111000,3
001110000000,10
001110000001,3
001110000010,2
001110000100,2
001110000101,2
001110001000,2
001110001001,2
001110001011,1
001110001101,1
001110010000,2
001110010001,1
001110010100,2
001110010110,1
001110011000,1
001110011001,1
001110011100,2
001110011101,1
001110011110,1
000100111010,2
001110100000,2
001110100001,1
001110100100,1
001110100101,3
001110101001,3
001110101100,1
001110101101,1
001110110011,1
001110110110,2
001110111100,1
001110111101,2
001110111110,1
001111000000,4
001111000010,2
001111000011,1
001111000100,2
001111000110,2
001111000111,1
001111001000,2
001111001001,1
001111001010,1
001111010001,1
001111010100,1
001111010111,1
001111011000,2
001111011001,1
001111011011,1
001111011100,1
001111011101,1
001111100000,3
001111100001,2
001111100010,1
001111100011,1
001111100100,1
001111101001,1
001111101100,1
001111101101,2
000100111111,1
001111110000,2
001111110001,2
001111110010,2
001111110011,2
001111110100,1
001111111000,2
001111111001,1
010000000000,7
010000000001,7
010000000010,4
010000000100,4
010000000101,6
010000000111,1
010000001000,5
010000001001,3
010000001010,2
010000001100,5
010000001110,1
010000010000,6
010000010001,7
010000010011,1
010000010100,4
010000010101,2
010000011000,5
010000011001,1
010000011010,1
010000011011,2
010000011100,3
010000011111,2
010000100000,8
010000100001,3
010000100010,2
010000100100,3
010000100101,2
010000100110,1
010000101001,1
010000101010,1
010000110000,3
010000110100,1
010000110101,4
010000111000,1
010000111011,1
010000111110,1
010001000000,5
010001000001,4
010001000010,1
010001000100,3
010001000101,4
010001000110,1
010001000111,1
010001001001,2
010001001100,3
010001001101,1
010001001111,1
000101000101,2
010001010000,2
010001010001,2
010001010010,1
010001010100,3
010001010101,1
010001010110,1
010001010111,1
010001011000,1
010001011001,1
010001011100,1
010001011101,3
010001011110,2
000101000110,1
010001100000,3
010001100001,2
010001100101,1
010001101001,1
010001101010,1
010001101100,1
010001101111,1
010001110000,4
010001110001,1
010001110011,1
010001110100,1
010001111000,1
010001111100,2
010001111110,1
010001111111,1
010010000000,7
010010000001,5
010010000010,2
010010000011,1
010010000100,3
010010000101,5
010010000110,1
010010000111,1
010010001000,2
010010001011,1
010010001100,2
010010001111,1
010010010000,5
010010010001,3
010010010100,3
010010010101,3
010010011000,1
010010011011,1
010010011100,1
010010011101,3
010010100000,2
010010100001,2
010010100010,3
010010100100,1
010010100101,1
010010101000,1
010010101001,2
010010101010,1
010010101100,1
010010101101,1
010010101111,1
010010110000,3
010010110001,5
010010110010,1
010010110100,1
010010110101,2
010010111000,2
010010111010,2
010010111100,1
010010111101,1
000101001100,2
010011000000,4
010011000001,2
010011000010,1
010011000011,1
010011000100,6
010011000101,1
010011001000,2
010011001001,1
010011001011,2
010011001100,2
010011001101,1
000101001101,2
010011010000,2
010011010001,1
010011010010,2
010011011001,1
010011011100,4
010011011101,1
000101001110,1
010011100001,1
010011100010,1
010011100100,2
010011100110,1
000101001111,1
010011110000,2
010011110100,1
010011110101,1
010011111001,1
010011111101,1
010011111110,1
010100000000,8
010100000001,3
010100000010,1
010100000011,3
010100000100,5
010100000101,1
010100001000,1
010100001001,2
010100001100,2
010100001111,1
000101010001,2
010100010000,4
010100010001,4
010100010010,2
010100010100,1
010100010101,2
010100010110,1
010100011000,2
010100011010,1
010100011011,1
010100011100,3
010100011101,4
000101010010,1
010100100000,1
010100100001,3
010100100010,1
010100100011,1
010100101000,1
010100101010,1
010100101100,2
010100101101,1
000101010011,1
010100110000,1
010100110001,4
010100110010,1
010100110011,1
010100110100,1
010100110101,2
010100110110,1
010100110111,1
010100111001,1
010100111011,1
010100111101,2
010100111110,1
010101000000,3
010101000010,1
010101000011,5
010101000100,1
010101000110,1
010101000111,2
010101001000,2
010101001100,1
010101010000,1
010101010001,2
010101010010,2
010101010011,1
010101010100,2
010101010101,3
010101010110,1
010101011000,1
010101011101,1
010101011111,1
000101010110,1
010101100000,3
010101100010,2
010101101100,1
010101110000,2
010101110001,1
010101110100,2
010101111011,1
010101111100,1
010101111101,1
010110000000,3
010110000001,1
010110000010,4
010110000100,2
010110000101,3
010110000111,1
010110001000,1
010110001100,2
010110001110,1
010110001111,3
010110010000,5
010110010001,1
010110010100,3
010110010101,2
010110011001,3
010110011010,2
010110011101,2
010110011110,1
010110011111,1
010110100000,3
010110100001,5
010110100010,1
010110100100,2
010110100101,1
010110101000,1
010110101111,1
010110110000,1
010110110111,1
010110111010,1
010110111100,1
010111000000,1
010111000001,2
010111000010,2
010111000101,5
010111001000,1
010111010000,1
010111010001,1
010111010010,1
010111010100,1
010111011000,2
000101011110,1
010111100000,2
010111100001,1
010111100011,1
010111100100,1
010111101010,1
010111101100,1
000101011111,1
010111110000,2
010111110100,1
010111111010,1
010111111100,1
011000000000,12
011000000001,6
011000000010,1
011000000011,2
011000000100,5
011000000101,2
011000000110,1
011000001000,3
011000001001,2
011000001010,2
011000001011,2
011000001100,1
011000001110,2
011000010000,4
011000010001,1
011000010010,2
011000010101,1
011000011001,3
011000011100,1
011000011101,3
011000100000,3
011000100001,4
011000100010,2
011000100011,2
011000100100,2
011000101000,3
011000101100,4
011000110000,1
011000110001,1
011000110010,1
011000110011,1
011000110110,1
011000110111,1
011000111000,3
011000111001,2
011000111010,1
011000111100,1
011000111101,1
011001000000,4
011001000001,1
011001000010,1
011001000011,2
011001000100,1
011001000110,1
011001001001,1
011001001100,1
011001010000,1
011001010001,2
011001010011,2
011001010100,2
011001010101,1
011001010111,1
011001011000,2
011001011001,1
011001011100,2
011001011101,1
000101100110,1
011001100000,1
011001100010,2
011001100011,2
011001100100,1
011001100110,1
011001100111,1
011001101000,1
011001101011,1
011001101101,1
011001110000,1
011001110001,2
011001110011,1
011001110110,1
011001110111,1
011001111000,1
011001111011,1
011001111110,1
011010000000,6
011010000001,4
011010000010,1
011010000011,1
011010000101,1
011010000111,1
011010001001,1
011010001100,2
000101101001,1
011010010000,3
011010010001,2
011010010100,1
011010011000,1
011010011001,1
011010011101,1
000101101010,1
011010100010,1
011010100101,1
011010100110,1
011010110000,1
011010110001,1
011010110100,1
011010110101,1
011010110111,1
011011000000,2
011011000011,1
011011000100,3
011011000110,1
011011000111,1
011011001000,1
011011010000,3
011011010001,2
011011010011,1
011011010101,2
011011010110,1
011011011001,2
011011011101,1
000101101110,2
011011100000,1
011011100001,3
011011100010,1
011011100100,2
011011100101,1
011011101000,1
011011101011,1
011011101101,1
011011110010,2
011011110100,1
011011110111,1
011011111000,1
011011111010,1
011011111101,1
011100000000,10
011100000001,4
011100000010,2
011100000011,1
011100000100,3
011100000101,2
011100001000,1
011100001001,1
011100001011,1
011100001100,2
011100001101,2
011100001110,1
011100010000,5
011100010001,3
011100010100,2
011100010101,2
011100010110,2
011100010111,1
011100011000,1
011100011001,3
011100011010,1
011100011100,4
011100011101,2
011100011111,1
011100100000,6
011100100001,3
011100100010,1
011100100100,2
011100100101,2
011100100110,1
011100101000,3
011100101001,1
011100101010,2
011100101101,1
011100101110,1
011100110000,1
011100110001,1
011100110100,1
011100110110,1
011100111001,2
011100111100,2
011100111111,1
000101110100,2
011101000000,3
011101000001,2
011101000100,2
011101001001,1
011101001011,1
