Measurement outcome,Frequency
00000000000000,31
00000000000001,6
00000000000010,9
00000000000011,4
00000000000100,5
00000000000101,3
00000000000110,3
00000000001000,4
00000000001001,2
00000000001010,3
00000000001100,6
00000000001110,3
00000000001111,1
00000000010000,2
00000000010001,1
00000000010010,5
00000000010011,1
00000000010100,3
00000000010110,1
00000000010111,2
00000000011000,1
00000000011101,2
00000000100000,15
00000000100001,4
00000000100010,2
00000000100011,2
00000000100100,7
00000000100110,6
00000000100111,1
00000000101000,3
00000000101001,1
00000000101010,2
00000000101100,1
00000000101110,1
00000000110000,3
00000000110001,1
00000000110010,2
00000000110011,2
00000000110100,3
00000000110101,1
00000000110110,3
00000000111000,1
00000000111001,1
00000000111010,1
00000000111110,1
00000001000000,13
00000001000001,4
00000001000010,6
00000001000100,5
00000001000101,2
00000001000110,3
00000001001000,2
00000001001001,1
00000001001010,1
00000001001100,2
00000001001110,1
00000001010000,2
00000001010011,1
00000001010100,4
00000001011000,1
00000001011100,1
00000001011101,3
00000001011111,1
00000001100000,4
00000001100001,2
00000001100011,1
00000001100101,1
00000001100110,2
00000001100111,1
00000001101000,1
00000001101010,1
00000001101100,1
00000001101110,1
00000001110000,2
00000001110001,3
00000001110010,2
00000001110110,1
00000001111000,1
00000001111010,2
00000001111100,1
00000010000000,14
00000010000001,3
00000010000010,4
00000010000011,1
00000010000100,6
00000010000110,4
00000010000111,1
00000010001000,3
00000010001001,1
00000010001010,1
00000010001011,1
00000010001100,5
00000010001101,1
00000010010000,3
00000010010001,1
00000010010010,1
00000010010011,1
00000010010110,1
00000010011000,3
00000010011100,1
00000010011101,1
00000010011111,1
00000010100000,8
00000010100010,3
00000010100100,3
00000010100101,1
00000010100110,2
00000010101000,3
00000010101001,1
00000010101011,1
00000010101100,1
00000010101110,1
00000010110000,5
00000010110010,3
00000010110100,2
00000010110110,3
00000010111010,1
00000010111110,1
00000011000000,7
00000011000001,1
00000011000010,4
00000011000100,4
00000011000101,4
00000011000111,1
00000011001000,1
00000011001001,1
00000011001100,2
00000011001110,1
00000011010000,4
00000011010110,1
00000011011001,1
00000011011100,3
00000011011110,1
00000011100000,8
00000011100001,2
00000011100010,1
00000011100011,2
00000011100100,3
00000011100101,2
00000011100110,1
00000011101000,1
00000011101100,1
00000011101101,1
00000011110000,1
00000011110100,6
00000011111000,1
00000011111100,1
00000011111110,1
00000011111111,1
00000100000000,24
00000100000001,6
00000100000010,5
00000100000011,2
00000100000100,6
00000100000101,2
00000100000110,2
00000100000111,2
00000100001000,2
00000100001100,5
00000100001101,1
00000100001110,3
00000100010000,2
00000100010001,1
00000100010010,3
00000100010011,1
00000100010100,1
00000100011000,2
00000100011011,1
00000100011100,1
00000100011110,1
00000100100000,12
00000100100001,5
00000100100010,5
00000100100100,4
00000100100101,2
00000100100110,4
00000100101000,3
00000100101010,1
00000100101100,2
00000100101101,1
00000100101110,2
00000100110000,1
00000100110110,2
00000100110111,1
00000100111100,1
00000100111111,1
00000101000000,4
00000101000010,3
00000101000100,1
00000101000101,1
00000101000110,1
00000101001000,3
00000101001001,1
00000101001010,1
00000101001011,1
00000101001100,2
00000101001101,1
00000101001110,1
00000101010000,3
00000101010010,1
00000101010100,1
00000101010110,3
00000101011001,1
00000101011110,2
00000101100000,1
00000101100001,1
00000101100010,2
00000101100011,1
00000101100100,2
00000101100110,1
00000101100111,1
00000101101000,1
00000101101010,3
00000101101100,2
00000101101110,1
00000101101111,1
00000101110000,2
00000101111110,1
00000110000000,12
00000110000001,1
00000110000010,1
00000110000100,2
00000110001000,1
00000110001100,1
00000110001110,1
00000110010101,1
00000110010110,1
00000110011100,1
00000110100000,8
00000110100001,5
00000110100010,2
00000110100100,1
00000110100101,1
00000110100110,2
00000110101000,1
00000110110000,5
00000110110101,1
00000110111000,1
00000110111010,1
00000110111110,1
00000110111111,1
00000111000000,5
00000111000010,1
00000111001100,1
00000111010000,3
00000111010100,2
00000111011010,1
00000111011100,1
00000111011110,1
00000111100000,4
00000111100001,2
00000111100010,1
00000111100100,3
00000111100110,1
00000111101000,1
00000111101011,1
00000111110010,2
00000111111000,2
00000111111111,1
00001000000000,9
00001000000001,4
00001000000100,5
00001000000101,2
00001000000110,2
00001000000111,1
00001000001010,1
00001000001100,1
00001000010000,3
00001000010010,1
00001000011100,1
00001000011101,1
00001000100000,5
00001000100010,2
00001000100110,1
00001000101000,2
00001000101001,1
00001000101100,1
00001000101110,1
00001000110001,1
00001000110110,3
00001001000000,3
00001001000001,1
00001001000100,1
00001001000101,1
00001001000110,1
00001001001000,1
00001001001010,1
00001001010100,1
00001001100000,2
00001001110000,2
00001001110001,1
00001001110010,1
00001001110101,1
00001010000000,3
00001010000001,1
00001010000011,1
00001010000100,2
00001010000110,1
00001010001000,1
00001010001010,1
00001010001100,1
00001010010000,2
00001010010100,1
00001010010111,1
00001010100000,3
00001010101100,1
00001010110000,1
00001010110100,1
00001010110111,1
00001010111100,1
00001010111111,1
00001011000000,3
00001011000110,1
00001011001000,2
00001011001011,1
00001011010000,1
00001011010001,1
00001011010010,1
00001011010110,1
00001011011010,1
00001011011100,1
00001011100000,3
00001011100011,1
00001011100100,2
00001011101110,2
00001011110010,1
00001011110100,1
00001011110101,1
00001011111010,1
00001100000000,13
00001100000001,3
00001100000010,3
00001100000100,4
00001100000101,1
00001100000110,1
00001100001001,1
00001100001010,3
00001100001110,2
00001100010000,3
00001100010010,2
00001100010100,2
00001100010110,1
00001100011000,2
00001100100000,2
00001100100001,2
00001100100010,2
00001100100100,3
00001100100110,5
00001100100111,2
00001100101000,1
00001100101010,2
00001100101100,1
00001100110000,2
00001100110010,1
00001100110100,3
00001100110110,2
00001100111100,1
00001101000000,2
00001101000010,1
00001101000100,1
00001101000111,1
00001101001000,1
00001101001101,1
00001101010000,1
00001101011000,1
00001101100000,1
00001101100100,1
00001101100110,1
00001101101000,1
00001101101100,1
00001101110000,1
00001101110101,1
00001101111100,1
00001110000000,7
00001110000010,1
00001110000101,1
00001110001100,1
00001110001111,1
00001110010100,1
00001110010111,1
00001110011100,1
00001110100000,1
00001110100001,1
00001110100010,1
00001110100101,1
00001110100110,2
00001110110100,1
00001110110110,1
00001110111000,2
00001110111011,1
00001111000000,2
00001111000100,3
00001111000101,1
00001111010000,3
00001111010100,1
00001111010101,1
00001111100000,3
00001111100010,1
00001111100101,1
00001111100110,1
00001111110010,1
00001111111000,1
00001111111010,1
00010000000000,17
00010000000001,2
00010000000010,4
00010000000100,6
00010000000110,4
00010000001000,4
00010000001101,1
00010000010000,1
00010000010100,1
00010000010110,2
00010000011000,2
00010000011010,1
00010000011100,1
00010000100000,4
00010000100001,1
00010000100010,1
00010000100011,1
00010000100100,3
00010000100101,1
00010000100110,1
00010000101000,1
00010000110000,2
00010000110010,1
00010001000000,2
00010001000001,2
00010001000100,1
00010001000101,1
00010001000110,2
00010001001001,1
00010001001010,1
00010001001100,2
00010001001110,1
00010001010000,1
00010001010001,1
00010001010010,1
00010001010100,2
00010001011001,1
00010001100000,6
00010001100001,1
00010001100101,1
00010001100110,1
00010001101001,1
00010001101010,1
00010001101100,1
00010001101110,1
00010001110000,3
00010001110100,1
00010001110110,1
00010001111001,2
00010010000000,4
00010010000001,1
00010010000010,4
00010010000110,2
00010010001011,1
00010010001100,1
00010010010000,1
00010010010010,1
00010010011010,1
00010010100000,4
00010010100001,1
00010010100100,2
00010010100101,1
00010010101000,1
00010010101110,1
00010010110000,2
00010010110001,1
00010010110010,1
00010010110110,1
00010010111010,1
00010011000000,7
00010011000001,1
00010011000100,1
00010011000110,2
00010011000111,1
00010011001000,1
00010011010001,1
00010011010010,1
00010011010100,1
00010011011000,1
00010011011011,1
00010011011110,1
00010011100000,1
00010011100010,5
00010011100110,1
00010011100111,1
00010011101000,1
00010011110000,1
00010011110100,2
00010011110101,1
00010100000000,13
00010100000010,5
00010100000011,1
00010100000100,4
00010100000101,1
00010100000110,2
00010100001000,1
00010100001110,3
00010100010000,2
00010100010100,1
00010100010110,1
00010100100000,2
00010100100001,2
00010100100010,3
00010100100011,1
